exp,I,T,J,seed,exp_cost,exp_carbon,exp_renewable_util,cvar90_carbon,cvar95_carbon,cvar90_cost,cvar95_cost,sla_violation_rate,std_cost,std_carbon,runtime_sec
DRO,2,12,120,13,25.377046967205857,83.75997894956251,0.21908766321462342,93.621244189868,93.621244189868,28.49533313593756,28.49533313593756,0.0,2.5760429263541775,6.798467579497377,0.1659164999999998
baseline,4,12,30,11,5.6339977819816,23.527231391983587,0.3181970195730077,29.72467778967475,29.72467778967475,6.390961488350101,6.390961488350101,0.0,0.5672067682622127,5.004731202827917,0.0003354159999999773
DRO,4,12,30,11,6.656772839849721,19.85552748736729,0.3450583884171135,25.153834481663985,25.153834481663985,7.495671787411307,7.495671787411307,0.0,0.70031161031047,4.236676795507676,0.09130662499999964
baseline,4,12,30,12,5.517891596908529,26.468514931390313,0.3242175211201869,30.226711037491917,30.226711037491917,6.368479455522788,6.368479455522788,0.0,0.5741541774686043,2.65278905598901,0.0003527919999997131
DRO,4,12,30,12,6.498188586405824,22.606262633157666,0.35529782390954884,25.40127112813835,25.40127112813835,7.498631114638243,7.498631114638243,0.0,0.6876085858722464,2.20739257318349,0.10457466699999962
baseline,4,12,30,13,4.579561598854099,23.798880925682937,0.3488498884619526,27.151871568354238,27.151871568354238,5.403831539039572,5.403831539039572,0.0,0.4326005243658087,2.538887936617012,0.0003696669999997404
DRO,4,12,30,13,6.284633855444117,19.283952973085185,0.3738159061880126,21.592576460260652,21.592576460260652,7.1053555875897105,7.1053555875897105,0.0,0.507535360347321,1.9282841725204716,0.08433920899999992
baseline,4,12,60,11,12.4009697402558,49.4258860742708,0.2193886252374486,53.970512587313635,53.970512587313635,13.720150681222037,13.720150681222037,0.0,0.6032150098986171,4.034416141808387,0.005219292000000042
DRO,4,12,60,11,13.845695663055185,44.85207225558087,0.22667761741190043,48.958307631120796,48.958307631120796,15.004884693376026,15.004884693376026,0.0,0.5060427374276342,3.7585990830752527,0.15865850000000004
baseline,4,12,60,12,13.12715549689496,55.51004503164024,0.2058697864052928,63.83118726699094,63.83118726699094,14.10162071443188,14.10162071443188,0.0,0.7963515475719747,4.88483742569524,0.0006550829999998342
DRO,4,12,60,12,14.561592192054047,50.88256299638723,0.21406855322618568,58.780542349141875,58.780542349141875,15.698486067936145,15.698486067936145,0.0,0.9055627848263113,4.673399119384063,0.1572050840000001
baseline,4,12,60,13,13.686244558681175,53.257845224264685,0.20822817363048032,60.76895286901322,60.76895286901322,15.727521076288468,15.727521076288468,0.0,1.217034838535065,5.890597480204412,0.0006625419999997106
DRO,4,12,60,13,15.138570761229099,48.05335208360371,0.22010284896292234,54.41656961137534,54.41656961137534,17.410586396386208,17.410586396386208,0.0,1.3193689791646535,5.318063576315633,0.13412416699999996
baseline,4,12,120,11,23.84696609829301,88.23679146002146,0.19915130684123808,96.93572901436484,96.93572901436484,27.238984059006288,27.238984059006288,0.0,2.5680681602493505,7.8747884214460155,0.0012690840000000314
DRO,4,12,120,11,24.797867957364595,81.67811063981209,0.21394366526952677,89.48859702063774,89.48859702063774,28.31931077424813,28.31931077424813,0.0,2.6074430354962543,7.147593738398979,0.2699628749999996
baseline,4,12,120,12,24.478748784387648,89.60256420312027,0.18571270880079502,98.31384445753224,98.31384445753224,27.28719592285259,27.28719592285259,0.0,2.4759343086279233,6.449399052339156,0.0012854999999998284
DRO,4,12,120,12,26.419843725492917,78.14682706683682,0.21114785996509902,86.20181601803492,86.20181601803492,29.80191110685218,29.80191110685218,0.0,2.7465453345408872,5.563988709529241,0.2543173750000003
baseline,4,12,120,13,24.851829897237288,92.76446264355711,0.1985686572800638,116.79173428096188,116.79173428096188,32.33960344383917,32.33960344383917,0.0,3.441331706744554,17.79045356225763,0.0012684999999996727
DRO,4,12,120,13,27.57455655715382,84.67471417868036,0.20993776572151815,106.89276456708103,106.89276456708103,36.44872116752308,36.44872116752308,0.0,3.915767074026957,16.34597401909157,0.2729960840000003
